From	To
A0A2E6VS27	PBLQ01000024
A0A2D5VLF3	NYYR01000026
A0A0S8KIK3	LJVF01000126
A0A2J6WFT3	PNIL01000013
A0A2N1RF51	PGXQ01000178
A0A2E8P9U3	PBTV01000036
A0A2D9B3I5	NZPZ01000075
A0A2E5JDM4	PBCE01000032
A0A2D7RE61	NZIM01000046
A0A1Z9VIQ1	NHMA01000017
A0A2E4IYC1	PAUB01000012
