orf	rhod_classification	tara	contig
SAMEA2623079_1004012_5	helio	MIC	SAMEA2623079_1004012
SAMEA2591108_1551673_3	type_1	MIC	SAMEA2591108_1551673
SAMEA2623673_2714318_7	type_1	MIC	SAMEA2623673_2714318
SAMEA2622843_1052415_39	type_1	MIC	SAMEA2622843_1052415
SAMEA2622837_1296357_5	Unclassified	MIC	SAMEA2622837_1296357
SAMEA2622822_496487_17	type_1	MIC	SAMEA2622822_496487
SAMEA2619766_24392_4	helio	MIC	SAMEA2619766_24392
SAMEA2622766_1599054_5	helio	MIC	SAMEA2622766_1599054
SAMEA2620194_287442_10	type_1	MIC	SAMEA2620194_287442
SAMEA2621198_1786429_5	type_1	MIC	SAMEA2621198_1786429
SAMEA2623116_1330667_6	type_1	MIC	SAMEA2623116_1330667
SAMEA2622518_2480524_4	type_1	MIC	SAMEA2622518_2480524
SAMEA2591108_1115264_1	type_1	MIC	SAMEA2591108_1115264
SAMEA2621277_3032637_3	type_1	MIC	SAMEA2621277_3032637
SAMEA2620929_575338_3	type_1	MIC	SAMEA2620929_575338
SAMEA2621076_322415_5	Unclassified	MIC	SAMEA2621076_322415
SAMEA2623919_1448537_3	type_1	MIC	SAMEA2623919_1448537
SAMEA2622097_1002179_2	Unclassified	MIC	SAMEA2622097_1002179
SAMEA2622021_2032039_2	type_1	MIC	SAMEA2622021_2032039
SAMEA2623079_2847202_10	type_1	MIC	SAMEA2623079_2847202
SAMEA2622336_2594958_4	type_1	MIC	SAMEA2622336_2594958
SAMEA2622766_1252431_2	type_1	MIC	SAMEA2622766_1252431
SAMEA2621020_1198219_3	type_1	MIC	SAMEA2621020_1198219
SAMEA2623079_1763600_7	type_1	MIC	SAMEA2623079_1763600
SAMEA2622097_1457957_13	Unclassified	MIC	SAMEA2622097_1457957
SAMEA2620929_19643_4	type_1	MIC	SAMEA2620929_19643
SAMEA2591108_248239_14	type_1	MIC	SAMEA2591108_248239
SAMEA2620081_637397_8	type_1	MIC	SAMEA2620081_637397
SAMEA2622097_2438045_3	helio	MIC	SAMEA2622097_2438045
SAMEA2622097_2438045_2	helio	MIC	SAMEA2622097_2438045
SAMEA2621044_1456650_2	type_1	MIC	SAMEA2621044_1456650
SAMEA2620970_778300_13	type_1	MIC	SAMEA2620970_778300
SAMEA2621203_2414717_12	type_1	MIC	SAMEA2621203_2414717
SAMEA2621839_1036985_1	Unclassified	MIC	SAMEA2621839_1036985
SAMEA2619548_2793914_9	type_1	MIC	SAMEA2619548_2793914
SAMEA2620786_2660719_2	helio	MIC	SAMEA2620786_2660719
SAMEA2619927_1324048_2	type_1	MIC	SAMEA2619927_1324048
SAMEA2621423_375348_4	type_1	MIC	SAMEA2621423_375348
SAMEA2621045_2007876_7	type_1	MIC	SAMEA2621045_2007876
SAMEA2620979_1292117_4	type_1	MIC	SAMEA2620979_1292117
SAMEA2619970_2376903_2	type_1	MIC	SAMEA2619970_2376903
SAMEA2622316_2032810_3	type_1	MIC	SAMEA2622316_2032810
SAMEA2621536_654804_18	Unclassified	MIC	SAMEA2621536_654804
SAMEA2621021_1631110_3	type_1	MIC	SAMEA2621021_1631110
SAMEA2591122_496093_3	type_1	MIC	SAMEA2591122_496093
SAMEA2622695_1620542_2	type_1	MIC	SAMEA2622695_1620542
SAMEA2591122_713405_6	type_1	MIC	SAMEA2591122_713405
SAMEA2621075_2724779_5	type_1	MIC	SAMEA2621075_2724779
SAMEA2621221_1590064_8	type_1	MIC	SAMEA2621221_1590064
SAMEA2619399_720605_2	type_1	MIC	SAMEA2619399_720605
SAMEA2619376_5338_4	type_1	MIC	SAMEA2619376_5338
SAMEA2620929_2118450_4	type_1	MIC	SAMEA2620929_2118450
SAMEA2622823_939848_22	helio	MIC	SAMEA2622823_939848
SAMEA2621020_2402240_12	type_1	MIC	SAMEA2621020_2402240
SAMEA2620979_616676_5	type_1	MIC	SAMEA2620979_616676
SAMEA2591084_238107_51	type_1	MIC	SAMEA2591084_238107
SAMEA2622316_2755353_7	type_1	MIC	SAMEA2622316_2755353
SAMEA2591074_1428164_3	type_1	MIC	SAMEA2591074_1428164
SAMEA2621221_903572_1	type_1	MIC	SAMEA2621221_903572
SAMEA2622710_2374628_24	type_1	MIC	SAMEA2622710_2374628
SAMEA2591122_245107_6	type_1	MIC	SAMEA2591122_245107
SAMEA2591057_1199620_6	type_1	MIC	SAMEA2591057_1199620
SAMEA2620979_699211_7	helio	MIC	SAMEA2620979_699211
SAMEA2620339_2097359_5	type_1	MIC	SAMEA2620339_2097359
SAMEA2619376_152_22	type_1	MIC	SAMEA2619376_152
SAMEA2621037_1454367_1	type_1	MIC	SAMEA2621037_1454367
SAMEA2621487_777489_1	type_1	MIC	SAMEA2621487_777489
SAMEA2620979_203537_13	type_1	MIC	SAMEA2620979_203537
SAMEA2623116_3299606_6	Unclassified	MIC	SAMEA2623116_3299606
SAMEA2619818_1268_1	type_1	MIC	SAMEA2619818_1268
SAMEA2622695_218655_2	type_1	MIC	SAMEA2622695_218655
SAMEA2622478_1634282_16	helio	MIC	SAMEA2622478_1634282
SAMEA2621020_576510_4	type_1	MIC	SAMEA2621020_576510
SAMEA2622695_1139363_6	helio	MIC	SAMEA2622695_1139363
SAMEA2620979_1307452_3	type_1	MIC	SAMEA2620979_1307452
SAMEA2622452_487207_4	type_1	MIC	SAMEA2622452_487207
SAMEA2619376_116_38	type_1	MIC	SAMEA2619376_116
SAMEA2620979_1080747_4	helio	MIC	SAMEA2620979_1080747
SAMEA2619782_13961_6	helio	MIC	SAMEA2619782_13961
SAMEA2620979_1080747_6	helio	MIC	SAMEA2620979_1080747
SAMEA2621259_1069194_3	type_1	MIC	SAMEA2621259_1069194
SAMEA2619782_18679_5	type_1	MIC	SAMEA2619782_18679
SAMEA2619782_76_78	type_1	MIC	SAMEA2619782_76
SAMEA2623886_1804124_45	type_1	MIC	SAMEA2623886_1804124
SAMEA2623808_1740844_1	type_1	MIC	SAMEA2623808_1740844
SAMEA2620570_387662_9	Unclassified	MIC	SAMEA2620570_387662
SAMEA2622822_1681618_9	type_1	MIC	SAMEA2622822_1681618
SAMEA2622149_1980102_2	type_1	MIC	SAMEA2622149_1980102
SAMEA2591108_74427_4	type_1	MIC	SAMEA2591108_74427
SAMEA2620979_255452_14	type_1	MIC	SAMEA2620979_255452
SAMEA2621423_132437_1	type_1	MIC	SAMEA2621423_132437
SAMEA2621259_2616127_1	type_1	MIC	SAMEA2621259_2616127
SAMEA2621044_2178422_3	helio	MIC	SAMEA2621044_2178422
SAMEA2622219_4114147_5	type_1	MIC	SAMEA2622219_4114147
SAMEA2619907_1642992_6	type_1	MIC	SAMEA2619907_1642992
SAMEA2621277_2909394_2	helio	MIC	SAMEA2621277_2909394
SAMEA2621075_2464014_2	type_1	MIC	SAMEA2621075_2464014
