BiGG	COG_cat	GO	KEGG	best_OG	eggNOG_Desc	eggNOGs	em_evalue	em_score	kingdom	name	nog_dataset	orf	seed_ortho	tax_scope	contig	taxa	nog_phylum	plot_classification
	L	GO:0000018,GO:0000019,GO:0000075,GO:0000109,GO:0000112,GO:0000166,GO:0000381,GO:0000428,GO:0000439,GO:0000441,GO:0000442,GO:0000443,GO:0000717,GO:0000718,GO:0000988,GO:0000990,GO:0000991,GO:0001109,GO:0001111,GO:0001112,GO:0001113,GO:0001120,GO:0001666,GO:0001882,GO:0001883,GO:0003674,GO:0003676,GO:0003677,GO:0003678,GO:0003684,GO:0003824,GO:0004003,GO:0004386,GO:0004672,GO:0004674,GO:0005488,GO:0005515,GO:0005524,GO:0005525,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005667,GO:0005675,GO:0005737,GO:0005829,GO:0006139,GO:0006152,GO:0006163,GO:0006195,GO:0006200,GO:0006259,GO:0006265,GO:0006281,GO:0006283,GO:0006289,GO:0006308,GO:0006351,GO:0006352,GO:0006353,GO:0006354,GO:0006355,GO:0006357,GO:0006360,GO:0006361,GO:0006362,GO:0006363,GO:0006366,GO:0006367,GO:0006368,GO:0006370,GO:0006396,GO:0006397,GO:0006403,GO:0006405,GO:0006406,GO:0006464,GO:0006468,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006913,GO:0006917,GO:0006950,GO:0006974,GO:0006979,GO:0007275,GO:0007399,GO:0007610,GO:0007626,GO:0008022,GO:0008026,GO:0008094,GO:0008104,GO:0008134,GO:0008150,GO:0008152,GO:0008344,GO:0008353,GO:0008544,GO:0009056,GO:0009057,GO:0009058,GO:0009059,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009125,GO:0009126,GO:0009128,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009158,GO:0009161,GO:0009164,GO:0009166,GO:0009167,GO:0009169,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009314,GO:0009411,GO:0009416,GO:0009452,GO:0009628,GO:0009650,GO:0009790,GO:0009792,GO:0009888,GO:0009889,GO:0009891,GO:0009893,GO:0009913,GO:0009987,GO:0010224,GO:0010467,GO:0010468,GO:0010525,GO:0010528,GO:0010556,GO:0010557,GO:0010564,GO:0010604,GO:0010628,GO:0010941,GO:0010942,GO:0010948,GO:0012502,GO:0015931,GO:0016032,GO:0016043,GO:0016070,GO:0016071,GO:0016301,GO:0016310,GO:0016462,GO:0016482,GO:0016591,GO:0016740,GO:0016772,GO:0016773,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0016973,GO:0017076,GO:0017111,GO:0018130,GO:0019001,GO:0019219,GO:0019222,GO:0019438,GO:0019439,GO:0019538,GO:0019637,GO:0019693,GO:0022008,GO:0030154,GO:0030182,GO:0030534,GO:0030554,GO:0030855,GO:0030880,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031974,GO:0031981,GO:0032392,GO:0032501,GO:0032502,GO:0032508,GO:0032549,GO:0032550,GO:0032552,GO:0032553,GO:0032554,GO:0032555,GO:0032558,GO:0032559,GO:0032561,GO:0032564,GO:0032774,GO:0032806,GO:0032991,GO:0033036,GO:0033218,GO:0033554,GO:0033683,GO:0034367,GO:0034641,GO:0034644,GO:0034645,GO:0034654,GO:0034655,GO:0035315,GO:0035639,GO:0036094,GO:0036211,GO:0036260,GO:0036293,GO:0042277,GO:0042278,GO:0042454,GO:0042623,GO:0042981,GO:0043065,GO:0043067,GO:0043068,GO:0043138,GO:0043140,GO:0043167,GO:0043168,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043234,GO:0043412,GO:0043484,GO:0043588,GO:0043900,GO:0043902,GO:0043903,GO:0043933,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044265,GO:0044267,GO:0044270,GO:0044271,GO:0044281,GO:0044349,GO:0044403,GO:0044419,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044451,GO:0044464,GO:0044699,GO:0044707,GO:0044708,GO:0044710,GO:0044763,GO:0044764,GO:0044765,GO:0044767,GO:0045893,GO:0045935,GO:0045944,GO:0046034,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0046782,GO:0046907,GO:0047485,GO:0048024,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048524,GO:0048699,GO:0048731,GO:0048856,GO:0048869,GO:0050434,GO:0050657,GO:0050658,GO:0050684,GO:0050789,GO:0050792,GO:0050794,GO:0050896,GO:0051028,GO:0051052,GO:0051168,GO:0051169,GO:0051171,GO:0051173,GO:0051179,GO:0051234,GO:0051236,GO:0051252,GO:0051254,GO:0051641,GO:0051649,GO:0051704,GO:0051716,GO:0051726,GO:0055029,GO:0055086,GO:0060255,GO:0060429,GO:0065007,GO:0070013,GO:0070035,GO:0070482,GO:0070816,GO:0071103,GO:0071214,GO:0071478,GO:0071482,GO:0071702,GO:0071704,GO:0071705,GO:0071824,GO:0071840,GO:0072521,GO:0072523,GO:0080090,GO:0090304,GO:0090305,GO:0097159,GO:1901135,GO:1901136,GO:1901265,GO:1901292,GO:1901360,GO:1901361,GO:1901362,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1901576,GO:1901657,GO:1901658,GO:1901987,GO:1901988,GO:2000112,GO:2001141	K10843	KOG1123|6.29003587737e-32|95.4249572754	Dna repair helicase	COG1061@NOG,KOG1123@euNOG	3.1e-25	82.5	euk	ERCC3		SAMEA2623919_2273661_1	5911.EAR85010	euNOG[57]	SAMEA2623919_2273661	Eukaryotes		Eukaryotes
	T	GO:0000226,GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005813,GO:0005815,GO:0005856,GO:0006464,GO:0006468,GO:0006629,GO:0006644,GO:0006650,GO:0006793,GO:0006796,GO:0006996,GO:0007010,GO:0007017,GO:0007049,GO:0007098,GO:0008150,GO:0008152,GO:0009987,GO:0015630,GO:0016020,GO:0016023,GO:0016043,GO:0016301,GO:0016307,GO:0016308,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019538,GO:0019637,GO:0022402,GO:0030139,GO:0030258,GO:0031023,GO:0031410,GO:0031982,GO:0031988,GO:0036211,GO:0042995,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043412,GO:0044237,GO:0044238,GO:0044255,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044430,GO:0044444,GO:0044446,GO:0044464,GO:0044699,GO:0044710,GO:0044763,GO:0045335,GO:0046486,GO:0046488,GO:0046834,GO:0046854,GO:0051297,GO:0071704,GO:0071840	K00889,K08286,K08857,K13712	0IP8V|4.36012232354e-41|117.290359497	whole genome shotgun sequence	0IMJW@euNOG,0IP8V@euNOG,COG0515@NOG,COG4642@NOG,COG5253@NOG,KOG0229@euNOG	5.9e-34	111.5	euk	PIP5KL1		SAMEA2623919_2256086_9	5911.EAR95086	euNOG[57]	SAMEA2623919_2256086	Eukaryotes		Eukaryotes
	L	GO:0000002,GO:0000166,GO:0000228,GO:0000723,GO:0000781,GO:0000784,GO:0000785,GO:0000790,GO:0000792,GO:0001882,GO:0001883,GO:0003674,GO:0003676,GO:0003677,GO:0003678,GO:0003824,GO:0004003,GO:0004386,GO:0004857,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005657,GO:0005694,GO:0005720,GO:0005724,GO:0005730,GO:0005737,GO:0005739,GO:0005740,GO:0006139,GO:0006152,GO:0006163,GO:0006195,GO:0006200,GO:0006259,GO:0006260,GO:0006261,GO:0006271,GO:0006273,GO:0006275,GO:0006281,GO:0006310,GO:0006401,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0006974,GO:0006996,GO:0007005,GO:0007346,GO:0008026,GO:0008094,GO:0008150,GO:0008152,GO:0008156,GO:0009056,GO:0009057,GO:0009058,GO:0009059,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009125,GO:0009126,GO:0009128,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009158,GO:0009161,GO:0009164,GO:0009166,GO:0009167,GO:0009169,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010389,GO:0010521,GO:0010556,GO:0010558,GO:0010564,GO:0010605,GO:0010639,GO:0016020,GO:0016043,GO:0016070,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0019219,GO:0019222,GO:0019439,GO:0019637,GO:0019693,GO:0022616,GO:0030234,GO:0030554,GO:0031090,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031933,GO:0031966,GO:0031967,GO:0031974,GO:0031975,GO:0031981,GO:0032042,GO:0032200,GO:0032204,GO:0032205,GO:0032210,GO:0032211,GO:0032392,GO:0032508,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032559,GO:0032844,GO:0032845,GO:0033043,GO:0033044,GO:0033554,GO:0033567,GO:0034641,GO:0034645,GO:0034655,GO:0035639,GO:0036094,GO:0042278,GO:0042454,GO:0042592,GO:0042623,GO:0043086,GO:0043137,GO:0043139,GO:0043141,GO:0043167,GO:0043168,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043504,GO:0043566,GO:0044092,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044265,GO:0044270,GO:0044281,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044429,GO:0044444,GO:0044446,GO:0044454,GO:0044464,GO:0044699,GO:0044710,GO:0044763,GO:0045934,GO:0046034,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0048519,GO:0048523,GO:0050789,GO:0050790,GO:0050794,GO:0050896,GO:0051052,GO:0051053,GO:0051128,GO:0051129,GO:0051171,GO:0051172,GO:0051276,GO:0051338,GO:0051348,GO:0051716,GO:0051726,GO:0051880,GO:0051972,GO:0051974,GO:0055086,GO:0060249,GO:0060255,GO:0065007,GO:0065008,GO:0065009,GO:0070013,GO:0070035,GO:0071103,GO:0071704,GO:0071840,GO:0072521,GO:0072523,GO:0080090,GO:0090304,GO:0090329,GO:0097046,GO:0097159,GO:1901135,GO:1901136,GO:1901265,GO:1901292,GO:1901360,GO:1901361,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1901576,GO:1901657,GO:1901658,GO:1901987,GO:1901990,GO:2000112,GO:2000113,GO:2000621,GO:2001251	K15255	12Q40|1.00752482066e-54|181.190750122	PIF1 5'-to-3' DNA helicase homolog (S. cerevisiae)	03JBD@ascNOG,0PGDJ@fuNOG,12Q40@opiNOG,COG0507@NOG,KOG0987@euNOG	3.1999999999999997e-31	102.1	euk	FG05522.1		SAMEA2623919_1299782_8	4896.SPBC887.14c.1	fuNOG[21]	SAMEA2623919_1299782	Fungi		Eukaryotes
ENO	G	GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0009986,GO:0044424,GO:0044464	K01689	05C70|2.57585781835e-213|711.770263672	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis (By similarity)	05C70@bactNOG,099YR@bctoNOG,0P7QI@flaNOG,COG0148@NOG	6.499999999999997e-206	680.4	bact	ENO	bctoNOG;flaNOG	SAMEA2623919_1141576_1	411154.GFO_2809	bactNOG[38]	SAMEA2623919_1141576	Bacteria		Unclassified_Bact
ADSS	F	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0008150,GO:0040007,GO:0044424,GO:0044464	K01939	05C91|2.29089421284e-186|623.047973633	Plays an important role in the de novo pathway of purine nucleotide biosynthesis	01Q8W@aproNOG,05C91@bactNOG,16PIX@proNOG,COG0104@NOG	5.099999999999998e-172	568.9	bact	PURA	proNOG	SAMEA2623868_3012728_14	582899.Hden_2405	bactNOG[38]	SAMEA2623868_3012728	Bacteria	Proteobacteria	diderm
	B			0DTKF|9.63404285044e-102|344.140930176	histone H3	0A6N5@biNOG,0DTKF@chorNOG,0UUX3@maNOG,0VHGA@meNOG,13PQG@opiNOG,192U0@roNOG,1B5EW@spriNOG,1D2XW@veNOG,COG2036@NOG,KOG1745@euNOG	7.599999999999998e-82	264.9	euk	HIST2H3D		SAMEA2623868_1205902_2	10020.ENSDORP00000004905	maNOG[6]	SAMEA2623868_1205902	Mammals		Eukaryotes
	L	GO:0003674,GO:0003824,GO:0003904,GO:0003913,GO:0006139,GO:0006259,GO:0006281,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009987,GO:0016829,GO:0016830,GO:0033554,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0044699,GO:0044763,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:1901360	K01669	05CVP|1.51083191589e-122|413.224487305	deoxyribo-dipyrimidine photolyase	05CVP@bactNOG,0FKVT@cyaNOG,COG0415@NOG	4.799999999999999e-133	440.0	bact	PHR	cyaNOG	SAMEA2623850_3073888_6	91464.S7335_4589	bactNOG[38]	SAMEA2623850_3073888	Bacteria	Cyanobacteria	diderm
	S			05CSB|1.99241001352e-84|285.641143799	rhodopsin	01VFD@aproNOG,05CSB@bactNOG,11G9N@NOG,1782J@proNOG	2.3999999999999993e-138	451.3	bact		proNOG	SAMEA2623850_2812431_8	439493.PB7211_669	bactNOG[38]	SAMEA2623850_2812431	Bacteria	Proteobacteria	diderm
PRFGS	F	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464	K01952	arCOG00641|1.43970588602e-288|960.861999512	Phosphoribosylformylglycinamidine synthase II	0KRED@eurNOG,COG0046@NOG,arCOG00641@arNOG	0.0	2106.6	arch	PURL		SAMEA2623850_2346507_1	274854.MG2_0185	arNOG[11]	SAMEA2623850_2346507	Archaea		Archaea
	S	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0016020,GO:0044424,GO:0044444,GO:0044464,GO:0071944	K07192	07S78|8.31862607118e-171|562.261535645	Band 7 protein	01T41@aproNOG,07S78@bactNOG,16PD4@proNOG,COG2268@NOG	1.2999999999999997e-127	419.6	bact	YQIK	proNOG	SAMEA2623826_734675_5	536019.Mesop_5842	bactNOG[38]	SAMEA2623826_734675	Bacteria	Proteobacteria	diderm
