#orf	Prob	Evalue	Pvalue	Score	SS	Cols	Query_HMM	Template_HMM	Identity	Similarity	Sum_probs	Template_Neff	subject_header
SAMEA2619399_1854592_9	99.9	2.8E-33	5.3E-38	255.9	0.0	229	22-292	1-244 (244)	20	0.152	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2621075_1617741_83	100.0	1.2E-44	2.3E-49	316.7	0.0	233	3-236	17-274 (288)	27	0.448	0.0	7.600	4XTN_A KR2; ion pump, membrane protein; HET: LFA, MPG, LYR, NA; 2.2A {Dokdonia eikasta}
SAMEA2620081_1111313_8	100.0	1.5E-41	3E-46	292.3	0.0	218	11-241	4-228 (229)	24	0.314	0.0	8.200	3AM6_B rhodopsin-2; seven trans-membrane, Transport Protein; HET: RET, CLR; 3.2A {Acetabularia acetabulum}
SAMEA2620194_688941_8	99.9	1.1E-32	2.2E-37	240.1	0.0	195	10-225	23-242 (244)	17	0.327	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2623734_2276203_29	100.0	5.9E-36	1.1E-40	263.0	0.0	195	18-233	10-234 (244)	20	0.256	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2620217_1394080_25	100.0	2.8E-34	5.5E-39	250.6	0.0	196	5-226	17-238 (244)	19	0.356	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2621423_1973137_5	100.0	1.1E-42	2.2E-47	298.7	0.0	228	11-242	3-233 (235)	40	0.800	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2620979_142417_3	100.0	5E-44	9.6E-49	301.8	0.0	229	1-230	1-229 (235)	52	0.961	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2619531_1917517_3	100.0	1.2E-41	2.3E-46	291.3	0.0	223	7-240	4-229 (235)	19	0.302	0.0	8.200	2M3G_C Bacteriorhodopsin; Solid state NMR, Anabaena Sensory; HET: RET; NMR {Nostoc sp. PCC 7120}
SAMEA2621075_1283535_6	100.0	4.2E-42	8.1E-47	287.8	0.0	223	2-224	3-231 (235)	47	0.900	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
